Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
xbunnykoo,1783327878,2024/12/17,79,6302,n,,,,The Claw,"Winsome Wizard Wand | Roman Candle | Snowball Cannon | Bauble Detector | Hypnocannon | Killer Whale Launcher | Mega Mallet | Bighead Potion"
lil21w,1435622610,2025/01/11,79,6302,n,Stranger,,Cat,Bird of Prey,"Stop Hitting Yourself | Cake | Chicken Gun | Snowman Gun | The Celebrator | Mega Mallet | Noob Pop | Hot Chocolate | Spell Book of Ice Cold Revenge"
24kKitsvne,494750311,2024/11/18,79,6302,n,Nametag,Funny Bone,Halrog,Ascend,"Stop Hitting Yourself | Big Flower | Fake C4 | Pumpkin Gun | Game Studio Executive Briefcase"
STlGMATIZED,459336037,2024/07/10,79,6298,n,,Yellow sparkles,,Pop,"Stop Hitting Yourself | Drone | Metal Detector | Throwing Barrel | Cherry Pie | Dragonshead Cannon | Slush Cannon | Spray Paint | Confetti Cannon | Staff of the Woodlands"
gabyscakeshop,930304356,2024/12/14,79,6295,n,Stranger,Red Divergent,Turtle,Ascend,"RC Tank | Snowball | 4th of July Fireworks | Haunted Pizza | Disguise Watch | Chicken Gun | Frying Pan | Shark Launcher | Alpaca Plushie | Mariachi Guitar | Item of Sentiment | Bacon Frying Pan | The Christmas Creep | Monster Friend | Egg Locater | Rock It Guitar | Otherworldly Sceptre | Ink Launcher | Sign: This Is NOT Epic | Blueberry Pie | R-80 | Ticket Launcher | Exploding Heart | Dragon Plushie | Goblet | Chocolate Milk | Throwing Bolts | Yellow Snowball | Epicsauce | Ancient Firecracker | Green Epicsauce | Selfie Stick | A Very Special Monster | Tennis Racket | Waffle | Pumpkin Bucket | Director's Clapboard | Ham Bone | Lightblox Jar | Tambourine | Protest Sign: Egg Hunt Nao | Crab Horde | Chick Horde | Christmas Tree Launcher | Red Balloon | Metal Guitar | Zombie Protest Sign | Red Stratobloxxer | Rolling Pin | Ghost Bag | Teddy Bloxpin | Basketball | Slush Cannon | Hand Cannon | Slurpee | Foam Finger | Spray Paint | Cursed Mummy Friend | Frisbee | Witches Brew | Bloxilicious Bubble Gum | Police Badge | Misfortune Cookie | Protest Sign: Eggs are for eating | Chocolate Bunny | Christmas Cookie | Noob Pop | Christmas Tree Lights | EPIC Stamper | Ice Cream | TOMATOES! | Fortune Telling Eight Ball | Skeleton Foam Finger | Hot Chocolate | Squid Launcher | Tom's Beans | Red Pirate Juice | Eggstaff | Egg Hammer | Pizza | War Rocks | Paint Grenade | AFK Sign | Magical Umbrella | Jack Frost | Hot Dog | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Slushie | Staff of the Woodlands | Chimp Friend | Cymbals | 8-Bit Ninja Stars | Earth Horn | Killer Whale Launcher | Skele-tar | Piggybank | Cherry Pie | Marshmallow Chirp | Giant Ninja Star | Bloxiade | RedBLOX | Flower Crossbow | Roblox Snowglobe | Speech Bubble | Shuriken | Wooden Sword | Confetti Cannon | Nunchucks | Face Off Potion | Halloween Sparkler | Punk Wrist Cuff | Watermelon | Protest Sign: Noobs | Saxophone | Eggshot | Pom-Poms | Neon Laser Launcher | Ra'k Guitar | Rainbow Fireworks"
6694s,223797516,2024/04/09,79,6294,y,,,Dazzling Heart,,"Lucky Harp | Game Studio Executive Briefcase | Staff of the Woodlands | Big Pink Daisy | Love Hurts Ray Gun | Badblox Hatchling | Shade Potion | 2019 Fireworks"
4driu,2441378409,2024/10/08,79,6294,y,Nametag,Hearts,Alpaca,Disco,"April Showers | Magical Umbrella"
ErinCA1800,569572872,2024/07/31,79,6294,n,Worthless,,Halrog,Disperse,"April Showers | Clown Gun | Frost Potion | Didgeridoo"
SimplexCobra319,2908871309,2024/12/01,79,6293,n,,,,,"Torch | Bloxxy Radar | Staff of the Woodlands"
JrFalsed,3560632289,2025/02/19,79,6290,n,,,,,""
