Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped
bbb08090,2842881173,2024/10/24,47,2208,n,,,,Halrog of Prey,"Ghost Potion"
KittycornCRB,1479257672,2024/12/26,47,2208,n,Bri'ish,Cups of tea,,Ascend,"Witches Brew | Wooden Sword | Ultra-Flat Spray Paint | Eggstaff | Soul Lantern | Flute | Bauble Detector | Skeleton Foam Finger | Pest Hammer | Egg Locater"
uxxio,1408408561,2024/09/25,47,2208,n,Spooky,Ghost Ring,Green Soul,The Claw,"Frying Pan | TOMATOES! | Killer Whale Launcher | Starfish | Alpaca Plushie | Otherworldly Sceptre | Double Cheezburger | Shark Launcher | Shade Potion"
IullabyIxve,545899590,2024/10/28,47,2207,n,barcode,Corrupted Aura,Epic Pumpkin,Terminate,"Beach Staff | RedBLOX | Basketball | Neon Laser Launcher | Panda Friend | Spider Flinger | Monster Mash | Beach Ball | Pest Hammer | Saxophone | Paint Grenade | Stop Hitting Yourself | Breath of Ice | Silly Guitar | Beast Claws | Frisbee | Tiger Warrior Club | Teddy Bloxpin | Caltrops | Cursed Mummy Friend | Metal Guitar | Pumpkin Gun | Item of Sentiment | Chimp Friend | R-80 | Shrunken Head | Soul Lantern | Flute | Protest Sign: Noobs | Green Epicsauce | Foam Finger | Cymbals | BANG! | Ra'k Guitar | Didgeridoo"
iam4cats_2020,1632164308,2024/08/17,47,2207,n,Festive,,Crow,Pause,""
6ogus,79105156,2024/09/28,47,2207,n,.,,,Big Bunny,"Stop Hitting Yourself | Panda Friend | Tambourine | Teddy Bloxpin | Monster Mash | Flower Crossbow | Big Flower | Bandit Dog | Giant Ninja Star | Egg Hammer"
Xthesakuunu,1599318717,2024/10/20,47,2207,n,,,,Shark Attack,"Otherworldly Sceptre | Soul Lantern | Ghost Potion | Flower Feet"
81kqa,2916731584,2024/06/28,47,2207,n,,,,,"Alpaca Plushie | Ink Launcher"
FonnyFB,3846539243,2024/06/06,47,2207,n,Silent,Easter Aura,Haunted Cheezburger,Drop Coins,"Big Stick | Hot Chocolate | Pest Hammer | Bandit Dog | Pizza | R-80 | Bugle"
kuromivxbes,863083543,2024/09/07,47,2206,n,)-:,Light Sprite,,,"Stop Hitting Yourself | Bloxilicious Bubble Gum | Cake | Fortune Telling Eight Ball | Clown Bomb | Tambourine | Teddy Bloxpin | Rolling Pin | Wooden Sword | Ultra-Flat Spray Paint | Red Stratobloxxer | Protest Sign: Noobs | Flute | Sparkler | Hot Dog | Spinning Robot Helmet | Chimp Friend | BANG! | Chocolate Milk | Lightblox Jar"
Xx_DeboraxX,1877918094,2024/12/04,47,2206,n,Suspect,Floating Flower,,Explode,"Epicsauce | Foam Finger | Big Flower | R-80 | Pest Hammer | Metal Guitar"
lolololo12rrttt,456774814,2024/09/30,47,2206,n,Noob,Footballs,Rainbow Phoenix,,"Teddy Bloxpin | Chocolate Milk | Face Off Potion"
12i3jio2013,1540468745,2024/04/20,47,2206,y,Nametag,,,Pop,"Bacon Frying Pan | Megagavel"
lanadelsIay444,4399895247,2024/10/28,47,2205,n,Princess,Hearts,,Abduct,"Spider Flinger | Soul Lantern | Flower Feet | Pest Hammer | Teddy Bloxpin | Monster Mash"
Cat_lover9494,557455004,2024/09/28,47,2205,n,Epic,Purple flame,Mr Tentacles,Spaghettificate,"Epicsauce | Cymbals | R-80 | Dragonshead Cannon | Flower Feet | Magical Umbrella | Item of Sentiment | Dance Potion | Saxophone | Staff of the Woodlands"
REPENT4URS1NS,888293871,2024/09/25,47,2205,y,.,Golden Rays,Spectral Spider,Zero Gravity,"April Showers | TOMATOES! | Big Flower | Ink Launcher | Shark Launcher | Item of Sentiment | Pest Hammer"
NicoleRO2,473316339,2025/01/08,47,2204,n,Claus,Bauble Master,Merry Snowflake,Top of Tree,"Frosted Santa | Snowman Gun | Teddy Bloxpin | Otherworldly Sceptre | Bauble Detector | Santa | Snowball Cannon"
4heavensake,1127259477,2024/05/12,47,2204,n,,Zzzz,,,"Starfish | Giant Ninja Star | Flower Crossbow | Slush Cannon | Festive Plungers | Ghost Bag | Sign: This Is NOT Epic | Bighead Potion | Bugle | Slurpee"
dxststorm,1284704636,2024/06/09,47,2204,n,Disestablishmentarianist,,,Lovely Explosion,"RedBLOX | Basketball | Snowball | Foam Finger | Christmas Tree Lights | Frying Pan | Christmas Cookie | Skeleton Foam Finger | The Christmas Creep | Monster Friend | Red Pirate Juice | Egg Locater | Otherworldly Sceptre | Red Foam Finger | Taco | Protest Sign: Eggs are for eating | Protest Sign: Touch Grass | Ghost Potion | Hot Dog | Pirate Juice | Exploding Heart | Pest Hammer | Starblox Latte | Chocolate Milk | Skull Gun | Fortune Telling Eight Ball | Ham Bone | Goblet | A Very Special Monster | Bauble Staff | Epicsauce | Rolling Pin | Director's Clapboard | Smore | Marshmallow Chirp | Frosty the Snowfriend | Bloxiade | Flute | Santa | Big Flower | Christmas Tree Launcher | Noob Pop | Saxophone | Ultra-Flat Spray Paint | Latke | Green Epicsauce | Moneybag | Soul Lantern | Watermelon | Slush Cannon | Roblox Snowglobe | Tambourine | Jingle Bells | BANG! | Hot Chocolate | Tom's Beans"
DeliaLove200,667177847,2024/12/23,47,2204,n,Legend,Hearts,Fluffy Unicorn,,"Stop Hitting Yourself"
