Username,ID,SurveyDate,Level,Wins,VIP,Title,Effect,Pet,Death,GearEquipped,ISO
liliekitten,672076015,2025/03/02,48,2349,n,Talented,,,Disco,"Foam Finger | Teddy Bloxpin | Pest Hammer | Moneybag | Staff of the Woodlands | Bunch of Balloons | Clown Gun",056
kazus0udas,906337378,2024/09/10,48,2348,y,uhhactually,Ducks,Gourd Friend,Vanish,"Bighead Potion | Saxophone",840
NigXxDreamyBullxXGa1,4301804302,2024/08/02,48,2348,n,Overseer,Watchful Eye,Lil Obsy,Eggify,"",840
evilshyne,159101261,2024/11/10,48,2348,n,.,Floating Flower,8-Bit Tabby Cat,Gravestone,"Stop Hitting Yourself | Ham Bone | Alpaca Plushie | Didgeridoo",840
ilovemesahh,1142176139,2024/10/26,48,2348,n,,Corrupted Aura,,Burn,"Science Project: Potato | Pest Hammer | Halloween Sparkler | Stop Hitting Yourself | TOMATOES! | Soul Lantern | Dragonshead Cannon",840
0xiiq_0,3404225172,2025/01/09,48,2348,n,Snowman Title,Ice Shards,Arctic Wolf,Top of Tree,"The Midas Glove",643
qory584,1394358812,2025/01/19,48,2347,n,Princess,,Fish,,"Torch",360
lkkhnnh,964515232,2024/08/02,48,2347,y,Suspect,Purple flame,The Cube,,"Annoying Elf | Panda Friend | Disguise Watch | Blue Throwing Barrel | Compass | Throwing Spork | Otherworldly Sceptre | Flower Feet | Chocolate Milk | Saxophone | Epicsauce | Cake | Waffle | Clown Bomb | Halloween Sparkler | Tambourine | Space Sandwich | Crab Horde | Santa | Cowbell | Red Stratobloxxer | Moonwalk Potion | Ghost Bag | Bunch of Balloons | Whoopee Cushion | Lightblox Jar | Witches Brew | Bloxilicious Bubble Gum | Misfortune Cookie | Foam Finger | Ice Cream | Beach Staff | Apple Pie | Big Flower | Jack Frost | Torch | Spray Paint | Red Pirate Juice | Tom's Beans | Frost Potion | Chimp Friend | Red Foam Finger | Taco | Metal Detector | Protest Sign: Noobs | Sparkler | Hot Dog | Pirate Juice | Magical Horseshoe | Pest Hammer | Starblox Latte | Bloxxy Radar | Watermelon | Bonk Bat | Bloxiade | Latke | Magic Dragon | Pizza | Item of Sentiment | Face Off Potion | Christmas Cookie | Cherry Pie | Marshmallow Chirp | Slingshot | Teddy Bloxpin | Smore | Pumpkin Bucket | Roblox Snowglobe | Snowball | Winter Snowfall | Wooden Sword | Ultra-Flat Spray Paint | Noise Maker | R-80 | Stop Hitting Yourself | Bug Net | Flute | Bugle | Goblet | Spinning Robot Helmet | Staff of the Woodlands | BANG! | Chameleon Potion | Didgeridoo",076
hiuglyperson123356,1694247884,2024/06/03,48,2347,n,,Sprinkling Snowflakes,Hedgehog,Disappear,"Stop Hitting Yourself | Protest Sign: Noobs | Pest Hammer | Big Flower",372
BLOX_1777,3597607086,2025/01/17,48,2347,n,Enigmatic,Corrupted Aura,,The Claw,"Otherworldly Sceptre",124
