Title,Author Line,Id,PublishDate,AuthorIds,PageCount,Genres
"A Noob's guide to build a boat for treasure by","??",10785,2/25/2020,,5,"Roblox Games"
"The Rich History of Robloxia","??",11329,5/10/2020,,8,"Roblox History, Miscellaneous"
"Spead lost in space","???",9674,05/13/2020,,5,"Fiction, Action"
"Advanced Guide to Portuguese 1","0050jonas",12136,07/03/2023,,13,"Languages"
"Basic Guide to Portuguese 1","0050jonas",12099,06/04/2023,,11,"Languages"
"Basic Guide to Portuguese 2","0050jonas",12100,06/05/2023,,12,"Languages"
"The Beginning of the End","0050jonas",12080,07/21/2023,,17,"Science Fiction"
"Bloxburg","07_Veka",9902,02/10/21,,3,"Roblox Games"
"Humphrey Goes to the Playground","0kelogy",9446,1/19/2018,,7,"Fiction, Roblox Fiction"
"Enduring the heat from others as a manager","0neLastKill",9278,05/30/2020,,11,"Roblox Learn"
"A Guide to Common Furry Misconceptions","0Night_Marine",8961,12/29/2018,,5,"Life Learn"
"Unanchored Window","0Night_Marine",11253,12/29/2018,,3,"Poetry"
"The Diary of Diary Willson","0Worthings0",9625,9/22/20,,7,"Short Story, Comedy"
"Leo the Lion","0xi_Lee",10078,6/8/2018,,4,"Roblox Fiction, Fantasy, Short Story"
"Coral Reefs","11113k",8637,3/17/2020,,12,"Nature"
"The History of Pinewood Builders","111njk",9343,11/01/2020,,9,"Roblox Groups"
"Regardless, It'll Remain","1126963374",11734,10/26/2022,,3,"Poetry"
"Reading Between the Lines","123Emu321",9477,09/12/2021,,4,"Poetry"
"Roblox: The Good and the Bad","123Emu321",11580,08/10/2021,,3,"Poetry"
"Rocky Mountain Scare","123Emu321",8769,07/16/2021,,11,"Mystery"
"How Roblox Events Went Downhill","123Palkia",8245,5/9/2020,,6,"Roblox Learn"
"Byzantine's Greatest Achievements","123SNS321",11317,2/17/2020,,8,"History"
"ROBLOX Baseball Caps History","137hazard",10011,2/27/2020,,5,"Roblox History"
"Biology: Robloxian Behavior and Habitat.","13_9x99mmB",10846,4/6/2017,,7,"Roblox Learn, Roblox Fiction"
"The apocalypse. (Book One)","13bashi",11505,2/8/2020,,4,"Horror, Adventure"
"The Experiment","14conz",9425,10/21/2020,,5,"Mystery, Science Fiction"
"Rainbow Island Part 1","1ehc",8540,12/30/2016,,7,"Fiction, Fantasy"
"Sushi S.O.S: Saving the Struggling Sushi","1KiraNotFound",12112,04/09/2023,,11,"Fiction"
"My bully story","1mNerd",10285,01/19/2021,,6,"Fiction, Short Story"
