Title,Author,Pages,CharCount
10 o’clock poetry: E tu,Mimom14,10,1218
100 Ways to Cope with Anxiety & Depression,BraveBubbles080306,10,2691
4 Smoothie Recipes,1vxnessa,5,1225
4-Ingredient Caramel Sauce,kherbert1,5,762
77 definitions of RUN,roastedbeanz6,16,2879
A Bouquet of Roses,Phlorette,4,1143
A Broken Man’s Eulogy Vol. 4,NoobOfHonor,16,12454
A Broken Man’s Eulogy Vol. 6,NoobOfHonor,32,23288
A Child’s Imagination,OliveCharm,2,1391
A Hidden Witch Vol.2,SarahPlayyz,12,4485
A Mirror's Lie,Itz_Yumiko & R0IDEN,10,2273
A Nemophilists Mind (I),Thejinxerofmagic,4,1087
A Nemophilists Mind (II),Thejinxerofmagic,3,486
A Reality Show,Deioika,7,2225
A Study on Misophonia,gtg1o1,9,3471
A True Crime All-Nighter,rivesart,10,3126
A Woman's Pondering,TrackdNTraild,49,18012
A door to the past Vol.1,KawaiiDINOSOURS,10,4081
A dream gone wrong,AliceInA_WonderLand1,3,977
A helping hand,XxRoxanne_ramenxX,6,1742
A new start,Kacgna,12,4027
Adventures Of Cinder and Autumn Vol. 1 Barking Up The Wrong Tree,GroovyCatGuy,7,4215
All About Heat Syncope,Karmaologist,4,1307
Am I good enough?,Savage4REAL18,3,747
Anatomy Vol. 1,VioletCharlxtte,6,1412
Annoying 2,EnvyHeartss,2,803
Apotelesma Vol. 1,Cyllenia,7,4122
Artopia: The Beginnings ( Vol 1 ),Parisgirl2248,6,3033
Artopia: The Beginnings Vol. 3,Parisgirl2248,7,3763
Attention,LittleLizzy667,5,1096
Beautiful Things,MikkiPicky,9,1224
Behind In The Mansion Vol. 1,iisxphiaiii,3,2573
Billie Eilish.,dyinqdreamz,8,3193
Bliss,CrystallineK,13,5531
Blossom and Bloom,Dairymilk888,3,529
Broken Dreams,xgachagamerx232,8,2971
Burning Midnight Oil,Turtleawe,2,259
Capitalizing and Formatting Titles: How to Write Series,o_bvi,3,790
Change me to be Better,CanadianScorpio,4,1322
Character Design Guide Vol. 2 - Silhouette and Shape,gunblaste1049,10,3185
Coffee Shop,KanoeKanye,2,661
Colours I Can’t See.,Akierion,5,1184
Controller ~ Prologue,Lupo3013,6,5164
Convey,fizzbree,3,747
Court of Immortals,Pieds1232,4,2466
Dollsy,pjppy2,3,546
Don’t Look Back Vol. 1,WafffelMakker,4,2797
Druid of the Streets,Cameron144,15,4315
Easy 9x Tables,DarknessZombieH,4,586
Echoes of Poetry Vol. 2,EchoLight1216,14,1702
Ecstasy of the Heart,Lith_e,9,5178
Eros and Psyche,soleiIIe (soleiiie),10,6362
Escaping The Dead (Vol. 2),ImFeli,12,11645
Everything For You,Akierion,12,7897
Fallen Vol. 1,0Lelaa,6,1831
Falling For Ya,elys1ain,9,4296
Fan Girl,qmouxr,3,1173
Fleeting Sorrows,Partygal890,4,753
Forgot (chapter 1),cuppynope233,6,1874
Friends? or….,apiopan,5,1883
Goddess,Phlorette,4,354
Green Hill Hospital,Cattifying,6,2109
HE LISTENS,chibiauro,5,643
"Hawaii, a Land of Beauty",kittykittykatkat101,6,2717
Hay Circus,Hashirama1999,9,5244
Heaven’s Door,lyjkjn,8,2439
Hero Poem,ElleOElle_BROWNIES,1,1209
Hidden,bellajonesmeow,3,1079
Hidden Vol. 2,Akierion,7,4156
Hidden Vol. 4,Akierion,12,5751
His voice,s0ya21,10,4846
Hope we could meet again the next day,sourxhaein,4,433
How to Apply lipstick correctly.,Lifechai,5,950
How to Be Good at Shooters Part 2,catlover1126,8,4901
How to Learn French Part 1,WICKEPAD3,10,1932
How to bake: Yakgwa,ugly_aesthetic,8,2911
How to cook croutons.,games_iriska,4,551
How to get primogems fast,punwuu,9,2436
How to make tacos!,lpsPinkPanda123,5,1915
I Broke His Heart Trying to Protect Mine.,jzsmzn,8,2969
I Don’t Miss You At All,princessvictoria1802,4,818
I Fell In Love With Him,Phlorette,5,1175
I Just Drive.,Ashley_Gamerz,5,2105
I Miss You,xTakayan,6,658
I Realized..,Ashley_Gamerz,5,2070
I Stubbed My Toe!,ugh90sbhaddie,4,1078
I Thought You Loved Me...,allumees,6,647
I Will Fail,MikkiPicky,12,1128
I have faith.,unseui,12,7211
I love you!,xbrixiiaa,4,1728
I reject my fate,twinkillings,4,441
If Only It Were True,iiHaleigh_s0ftii,3,2516
Ignorance,Turtleawe,4,536
Illusion,Useless_Senpai,3,864
Imaginary Friend,auhtumnsx,5,1269
In Love With a Human,CheriChey,9,5513
In the Verdant Garden Vol. I,MxdalynAmare,8,4145
Incomprehensible,cascadings,3,538
Interesting Chemistry Questions: Answered,coolkittykatcool1550,13,4208
Island Escape Vol. 2,bellajonesmeow,6,3184
It All Happened So Fast,xAzure_abyss,8,940
It's About The Anibits Vol. 1,laeqai,7,3271
I’m Gonna Get You,WildWeaselGirl,12,5356
I’m Not Weird,twinkillings,4,1355
I’m not sure anymore.,RealRelaxation,3,1108
Jack-O-Lantern.,Lady_Jasmineeee,4,821
Jadis Anvil Vol. 1,r6elyn,6,2477
Jadis Anvil Vol.2,r6elyn & GlitterPower88,8,3777
Jailbird Romance II: Path of Betrayal,Honeyboobear300 & Sabcutie8888,11,4364
Jailbird Romance III: Path of Lies,Honeyboobear300 & Sabcutie8888,10,3390
Jean Jacket Chapter 2,XxSaraXix,10,6589
Jean Jacket Chapter 3,XxSaraXix,14,5052
Jong Batu,darkadmiral360,6,2770
Josephine,SS0L4R,5,838
Journaling,TotallyNori,5,1033
July 20th.,avphla,4,1283
"June 13th, Tuesday 2045",Digital_Ink,7,2780
Just Like a Breeze,darknsparker,4,1283
Just a Crosswalk Away,RooDarling,8,3955
Just like everyone,PandoraArrowlaneYT,8,1717
Kittens 101: Things to Avoid,MikkiPicky,6,2876
Knock Knock,C0NCUSSl0NS,9,1931
Late night rain.,coolqueenplayz,3,463
Lectures on Calculus | Volume I,Discontinuum,4,1704
Life In Red,DANIELL31RIS,8,1999
Like it’s our Last,BananaPhone005,4,359
Little Bunny Droppings,Odoury,10,1337
Little Town of Teffant,alliiebear,12,5165
Love,Savannah_helli,2,739
Love Always Conquers,MARVEL0USMJ,5,2722
Love Endures Vol. 8,jb0ss02,7,3898
Love for Me,BananaPhone005,3,345
Magic Eraser,nondairycat,6,856
Manna’s Arrival,swa1983,2,536
Metanoia Vol.1,Ayzrilia,5,2156
Mirrored Flowers Seek Watery Moons,uni_utaite,7,2567
Misfortune,NoobAtRobloxHere,12,6086
Missing,HedgehogL,4,1962
Mitral Valve Prolapse,Karmaologist,6,1985
Monsters,LittleLizzy667,3,555
Moon River,tavia2405,6,3084
Mother Mother,BurritoAshley27,3,937
"My life, as a pair of Glasses",sweetpie0204,4,2528
My lovely moon,catkatdove,8,797
Myrmecophobia,mintmoons,5,1232
Nightmare in Miami!,nondairycat,5,550
No Longer Human (Part Two),realrosemarywalten,4,653
Not about you,phoqy,5,575
Nothing Is as It Seems,omgXD_ChestARollHere,4,665
Ode to Dog Shart,nondairycat,4,554
Old Bonds and New Dreams (vol. 1),AnAnxiousPan,15,9677
Ommetaphobia,StealMie,9,1814
One Last Time,serxnixy,3,641
Open to Polychrome,cathaha123,1,529
Parallel,akaaeede,3,734
Pas De Deux (Part 4),rmc218,7,3454
Problems,AnOkay_Person,2,285
Rare Mental Disorders -Vol.2-,nondairycat,6,2306
Reality/log.exe,ItzSelena200,11,5324
"Refreshing Fire, Vol. 1",Athicay,8,2914
Scorpio,Tea_qween1,4,1233
Self-growth,SWAGGYxDADDAE,8,1838
Sensitivity,Turtleawe,1,236
Simple Slushies Vol. 1,Angie092010,6,1530
Sprouting Feelings,riwookwook,4,565
Starshine,emeraIdzie,9,1288
Staying Motivated,IiIojas,6,1906
Strangers again.,Strangers again.,4,1574
Strawberry Cupcakes,Ayzrilia,6,1821
Strength,noisyandstalker,4,1515
Summer,11Zebras,7,672
The Adventure of the Tearose Library Chapter 9:The Unfinished Tale,jennlozeau84,7,1990
The Agent | Chapter 3: The Monster,yoshi0453a,20,5845
The Agent | Chapter 4: The Hunt,yoshi0453a,18,4906
The Beach At Dawn,buureru,7,2037
The Best Thing,alikebananapants2006,8,1255
The Boy and the Apple Tree,darknsparker,6,3013
The Cursed Son Part 1,Branden190,8,5315
The Devil’s Jungle,f0rmu1ate,9,2709
The Farm Boy and the Knight Vol. 1,Yumiioko,4,2222
The Fog,PenguSupreme,13,6249
The History of Enchiladas,Karmaologist,5,1456
The Jungle,Hashirama1999,8,3319
The Legend of Mayoria Vol.1,Cupidwxings,6,1409
The Life of: Catsmere.,Catsmere,6,3535
The Loneliness of Nature,Dr_AkiAnna,8,911
The Mysteries of the Days Union,Sad_Lavenderplant,7,2864
The Orchestra Of The Forest,bbyboio,12,5492
The Princess and the Unicorn Vol. 1,MikkiPicky,8,1675
The Republic,oldf41thful,9,5097
The Rise and Fall of the Fidget Spinner,d_allon,7,2707
The Screaming Of The kettle.,X_Xbrokendreams & ItzCookiePlayZxxx,5,2372
The Sea Rocks,Anonymous_Authors,7,1068
The Senseless Garden,rqin_drxpss,6,3155
The Six Wives: Vol. II,soleiIIe,16,7220
The Strike of Chamin,"ThePeggy1758, BananatheHannuh, BeanieBooGirl0098, LongNeckDino1, SachafranDG, unbelievableten, basilthechick",43,15058
The Two Monsters,twinkillings,6,1031
The Unfolding Vol No. 1,wheredabanana and SunlitBebs,11,3971
"The United States Government, Vol. 1: The Basics",mcksunny123,6,1231
"The United States Government, Vol. 2: The Basics",mcksunny123,14,2747
The Vampires Dynasty Vol. I,Niceandshortuser,11,12669
The Villainess’  Vengeance,HisDevotedBeliever,37,11362
The seasons,religiouschatolic,4,886
Through My Window,ariestial,4,476
"Tick, Tock.",XxAlliCaitiexX,2,475
Tips on how to eat healthy.,CxttonCxndySxies,3,1327
Tips to Fill in a Roblox Application Correctly,TheLadyAisha,5,4066
To Arms,Athicay,6,417
Until I Forget,puffles468,20,3784
What is Gender Dysphoria?,xsCloudy,5,2602
What is Social Anxiety?,Karmaologist,6,2116
What the fog took,getinmybelly_293,14,1808
When Everybody's Sleeping,Abecidario,8,1156
When I Was a Real Girl,cascadings,4,753
When She Smiles,Mad_Hatter945,4,1928
Windowpane,hopefleur,5,2248
You; My Beloved Reader,oyellowbug,6,3059
Zarisfy<3,pretzel_pup98,1,703
Zwa Marshmallow Touch,CloudRaisin,7,2717
Zweihander,twinkillings,3,262
a causa tua,Mimom14,7,893
an ode to you: aurum,lovelyxdaydream,8,2201
angel.,Zyxc_mfbac,4,461
april showers; a collection.,xsCloudy,4,2195
bamboo flowers,xsCloudy,7,1871
beauty standards,awesomehollywoodgirl,4,556
